timestamp,a_mm,b_mm
14:38:09,-1,310
14:38:09,-1,312
14:38:09,-1,305
14:38:09,-1,308
14:38:09,-1,311
14:38:09,-1,309
14:38:09,-1,306
14:38:09,-1,306
14:38:09,-1,314
14:38:09,-1,316
14:38:09,-1,315
14:38:09,-1,324
14:38:09,-1,312
14:38:09,-1,309
14:38:09,-1,304
14:38:09,-1,319
14:38:09,-1,310
14:38:09,-1,312
14:38:09,-1,305
14:38:09,-1,308
14:38:09,-1,311
14:38:09,-1,309
14:38:09,-1,306
14:38:09,-1,306
14:38:09,-1,314
14:38:09,-1,316
14:38:09,-1,315
14:38:09,-1,324
14:38:09,-1,312
14:38:09,-1,309
14:38:09,-1,304
14:38:12,-1,322
14:38:12,-1,313
14:38:12,-1,317
14:38:13,-1,319
14:38:13,-1,325
14:38:13,-1,325
14:38:14,-1,326
14:38:14,-1,340
14:38:14,-1,326
14:38:14,-1,313
14:38:15,-1,330
14:38:15,-1,333
14:38:15,-1,337
14:38:16,-1,330
14:38:16,-1,340
14:38:16,-1,328
14:38:16,-1,326
14:38:17,-1,316
14:38:17,-1,302
14:38:17,-1,311
14:38:18,-1,299
14:38:18,-1,308
14:38:18,-1,312
14:38:18,-1,308
14:38:19,-1,310
14:38:19,-1,315
14:38:19,-1,306
14:38:19,-1,298
14:38:20,-1,306
14:38:20,-1,302
14:38:20,-1,316
14:38:21,-1,318
14:38:21,-1,311
14:38:21,-1,313
14:38:21,-1,319
14:38:22,-1,308
14:38:22,-1,303
14:38:22,-1,315
14:38:23,-1,311
14:38:23,-1,312
14:38:23,-1,312
14:38:23,-1,322
14:38:24,-1,311
14:38:24,-1,318
14:38:24,-1,325
14:38:25,-1,302
14:38:25,-1,286
14:38:25,-1,290
14:38:25,50,-1
14:38:26,65,0
14:38:26,268,35
14:38:26,300,230
14:38:26,-1,87
14:38:27,-1,39
14:38:27,-1,6
14:38:27,8191,5
14:38:28,-1,16
14:38:28,8191,20
14:38:28,-1,0
14:38:28,0,0
14:38:29,68,10
14:38:29,64,0
14:38:29,-1,7
14:38:30,-1,5
14:38:30,464,14
14:38:30,-1,0
14:38:30,-1,17
14:38:31,-1,13
14:38:31,-1,0
14:38:31,-1,289
14:38:31,-1,304
14:38:32,-1,273
14:38:32,54,289
14:38:32,78,287
14:38:33,49,285
14:38:33,-1,97
14:38:33,-1,237
14:38:33,83,162
14:38:34,-1,67
14:38:34,-1,278
14:38:34,-1,286
14:38:35,-1,250
14:38:35,-1,249
14:38:35,-1,200
14:38:35,-1,213
14:38:36,-1,243
14:38:36,-1,242
14:38:36,-1,243
14:38:36,-1,228
14:38:37,-1,223
14:38:37,-1,182
14:38:37,-1,201
14:38:38,-1,-1
14:38:38,-1,152
14:38:38,-1,266
14:38:38,-1,292
14:38:39,-1,287
14:38:39,54,267
14:38:39,47,290
14:38:39,54,269
14:38:40,51,258
14:38:40,53,266
14:38:40,53,252
14:38:41,51,196
14:38:41,49,82
14:38:41,99,-1
14:38:41,-1,49
14:38:42,-1,-1
14:38:42,-1,132
14:38:42,-1,144
14:38:43,-1,157
14:38:43,-1,198
14:38:43,-1,243
14:38:43,-1,147
14:38:44,-1,236
14:38:44,-1,237
14:38:44,-1,241
14:38:45,538,254
14:38:45,471,241
14:38:45,476,281
14:38:45,468,293
14:38:46,466,285
14:38:46,468,284
14:38:46,475,286
14:38:46,472,280
14:38:47,472,276
14:38:47,467,245
14:38:47,471,124
14:38:48,480,108
14:38:48,492,127
14:38:48,521,60
14:38:48,549,-1
14:38:49,547,21
14:38:49,522,-1
14:38:49,506,-1
14:38:50,515,-1
14:38:50,490,-1
14:38:50,500,-1
14:38:50,511,-1
14:38:51,505,-1
14:38:51,555,-1
14:38:51,550,0
14:38:52,583,0
14:38:52,682,0
14:38:52,646,0
14:38:52,-1,0
14:38:53,656,-1
14:38:53,-1,261
14:38:53,-1,250
14:38:54,763,240
14:38:54,-1,246
14:38:54,-1,234
14:38:54,565,234
14:38:55,556,232
14:38:55,521,212
14:38:55,540,181
14:38:56,521,-1
14:38:56,555,-1
14:38:56,566,-1
14:38:56,600,-1
14:38:57,-1,-1
14:38:57,156,-1
14:38:57,179,107
14:38:57,316,156
14:38:58,1119,178
14:38:58,-1,170
14:38:58,-1,157
14:38:59,-1,135
14:38:59,-1,87
14:38:59,-1,102
14:38:59,-1,93
14:39:00,-1,241
14:39:00,-1,266
14:39:00,-1,278
14:39:01,724,248
14:39:01,739,264
14:39:01,890,295
14:39:01,-1,287
14:39:02,-1,291
14:39:02,-1,38
14:39:02,-1,29
14:39:02,-1,164
14:39:03,-1,299
14:39:03,-1,281
14:39:03,-1,297
14:39:04,-1,302
14:39:04,-1,323
14:39:04,-1,301
14:39:04,-1,319
14:39:05,-1,316
14:39:05,448,321
14:39:05,470,318
14:39:06,462,316
14:39:06,468,332
14:39:06,460,326
14:39:06,477,326
14:39:07,458,322
14:39:07,455,320
14:39:07,437,323
14:39:08,-1,316
14:39:08,-1,327
14:39:08,-1,243
14:39:08,-1,-1
14:39:09,-1,-1
14:39:09,-1,178
14:39:09,-1,283
14:39:09,-1,255
14:39:10,8191,260
14:39:10,-1,264
14:39:10,-1,271
14:39:11,-1,297
14:39:11,8191,330
14:39:11,-1,328
14:39:11,-1,334
14:39:12,-1,326
14:39:12,-1,308
14:39:12,-1,293
14:39:12,-1,309
14:39:13,-1,307
14:39:13,8191,313
14:39:13,8191,307
14:39:14,-1,311
14:39:14,8191,305
14:39:14,-1,289
14:39:14,-1,287
14:39:15,-1,290
14:39:15,8191,295
14:39:15,8191,300
14:39:16,-1,295
14:39:16,-1,295
14:39:16,-1,295
14:39:16,-1,298
14:39:17,-1,296
14:39:17,-1,291
14:39:17,-1,296
14:39:17,-1,301
14:39:18,-1,289
14:39:18,-1,294
14:39:18,-1,296
14:39:19,-1,297
14:39:19,-1,292
14:39:19,-1,299
14:39:19,-1,302
14:39:20,-1,307
14:39:20,-1,297
14:39:20,-1,303
14:39:20,-1,299
14:39:21,-1,307
14:39:21,-1,307
14:39:21,-1,303
14:39:21,-1,296
14:39:22,-1,298
14:39:22,-1,306
14:39:22,-1,303
14:39:23,-1,264
14:39:23,71,218
14:39:23,-1,245
14:39:23,-1,279
14:39:24,-1,270
14:39:24,-1,267
14:39:24,-1,235
